Id,Text,Tags,Label,LabelNum,createTime
4903656,"PostgreSQL: Why does this simple query not use the index? I have a table t with a column c, which is an int and has a btree index on it. Why does the following query not utilize this index? The result I get is: My understanding of indexes is limited, but I thought such queries were the purpose of indexes.",|database|postgresql|relational-database|database-performance|,Others,5,2011-02-04T22:43:58.607
5332562,"Using date in a check constraint, Oracle I am trying to check add the following constraint but Oracle returns the error shown below. Error:",|oracle|date|constraints|,Others,5,2011-03-16T22:22:17.690
5706203,How to merge decision/fork nodes in UML I have the below UML activity diagram for a shopping cart use case. It has several decision and fork nodes but there are no corresponding join/merge nodes. Could you please show me: how to correct the diagram by introducing the merge/join nodes. how to modify the diagram so that a customer can repeat the process (of adding more products to the shopping cart). Thank you.,|uml|activity-diagram|,Others,5,2011-04-18T16:54:02.610
6506395,How can I write on the toolbar in Visual C++ 6? I have a toolbar in my application and I want to write my current date on it. In the same height as all the icons of the toolbar are put.,|c++|visual-c++-6|,Others,5,2011-06-28T12:30:05.873
6769050,"ASP.NET / VB.NET: Iterate through multiline textbox I'm trying to iterate through each line of a multiline textbox. Something like: Is there any neat way to do this, or will I need to write a character-by-character parser and look for carriage returns? Thanks for any help, Jason",|asp.net|vb.net|textbox|multiline|loops|,Others,5,2011-07-20T21:57:05.377
6952108,Deleting image in folder that are NOT listed in a mysql database via PHP My Objective: To delete images in a folder that are not listed in a mysql database. I want this to be able to run when I logout of my portal. Any idea on how to do this? Thanks The Database Database Name: Imagelist The Folder Folder Name: images,|php|mysql|,Others,5,2011-08-05T06:06:19.977
7528253,"export gridview to excel without the gridview formatting VB I am able to export a gridview to excel, my problem is that I cannot figure out how to remove the formatting from coming over from the girdview. Here is the code I am using to export the gridview:",|asp.net|vb.net|gridview|,Others,5,2011-09-23T11:26:42.330
7977668,SharpZipLib library Compress a folder with subfolders with high level compresion and efficient time I used many existing codes and I tried to zip the folder in many ways but still I am having problem with time and folder size (still approx same size). this code is from the source of the library and still not giving the wanted result,|c#|performance|compression|,Others,5,2011-11-02T08:48:01.567
8413719,"Fixed position element that... moves? Just found the link with a element with behaves kinda strange: http://www.steadyhealth.com/Do_you_need_to_use_a_back_up_method_for_the_first_week_of_every_month_while_on_birth_control__t267326.html The element is with equals to . It appears to be green, visible and ... moving . How come that a fixed element is moving as the page is scrolled? Or, in other words, which part of the spec I need to re-read/re-learn please?",|javascript|jquery|html|css|,Others,5,2011-12-07T10:19:33.113
9166274,"Trying to figure out a rotation issue in iOS I am having trouble in fixing a problem with my iPad app. I am loading a photo view controller when pressing a button on my main view controller. In portrait mode the view controller loads fine, but when I load it in landscape mode my picture looks wrong: I want it to look like: I have narrowed down the problem to the following call: I've been trying to switch from to but no go. is a subview of my view. I just don't know how I can get it to recognize the orientation. NOTE: When I rotate the device the problem fixes it self.",|ios|uiview|uiscrollview|rotation|,Others,5,2012-02-06T19:49:50.430
9474291,Diff'ing using the TFS API Does anyone know if it is possible to use the TFS Difference.DiffFiles() methods on files that are not under source control? I know when I am in the source control UI I can select local paths that let me move outside of the workspace. I have made some efforts towards getting this to work but I am not sure how to read the DiffSegment results. In some lite testing I can seem to see segments that get added but the OriginalStart seems to match the ModifiedStart so I just may not want to do this. If anyone has recommendations on a decent Diff API I'm open.,|visual-studio-2010|c#-4.0|tfs|diff|,Others,5,2012-02-27T23:54:23.543
