row_name,all_acc,all_f1,all_auc,model_acc,model_f1,model_auc,tensor_acc,tensor_f1,tensor_auc,training_acc,training_f1,training_auc,gpu_acc,gpu_f1,gpu_auc,api_acc,api_f1,api_auc,Others_acc,Others_f1,Others_auc
sobert,0.699,0.687,0.901,0.882,0.51,0.83,0.871,0.706,0.881,0.843,0.522,0.853,0.961,0.917,0.993,0.867,0.629,0.854,0.975,0.836,0.997
robert,0.664,0.657,0.9,0.877,0.462,0.845,0.837,0.636,0.895,0.846,0.518,0.88,0.96,0.915,0.991,0.822,0.502,0.791,0.985,0.907,0.997
codebert,0.632,0.626,0.895,0.852,0.415,0.864,0.844,0.623,0.896,0.817,0.448,0.86,0.953,0.899,0.979,0.821,0.511,0.772,0.978,0.857,0.999
tfidf_LR,0.665,0.615,0.913,0.883,0.324,0.895,0.893,0.762,0.964,0.841,0.553,0.882,0.963,0.916,0.992,0.846,0.525,0.788,0.903,0.611,0.955
tfidf_DT,0.578,0.537,0.735,0.826,0.297,0.626,0.87,0.695,0.792,0.796,0.329,0.599,0.942,0.879,0.931,0.805,0.411,0.641,0.916,0.609,0.819
tfidf_RF,0.703,0.654,0.919,0.881,0.462,0.939,0.908,0.809,0.967,0.855,0.492,0.837,0.983,0.963,0.989,0.861,0.529,0.79,0.919,0.67,0.989
tfidf_SVM,0.67,0.614,0.912,0.872,0.222,0.872,0.9,0.769,0.943,0.819,0.532,0.884,0.97,0.933,0.992,0.852,0.582,0.83,0.927,0.642,0.951
tfidf_KNN,0.555,0.508,0.817,0.861,0.445,0.845,0.784,0.598,0.829,0.82,0.415,0.783,0.938,0.872,0.975,0.766,0.204,0.67,0.94,0.511,0.8
word2vec_LR,0.478,0.431,0.834,0.855,0.173,0.798,0.774,0.48,0.902,0.83,0.537,0.895,0.838,0.675,0.903,0.778,0.219,0.687,0.881,0.5,0.82
word2vec_DT,0.431,0.405,0.648,0.857,0.237,0.571,0.76,0.452,0.648,0.787,0.352,0.615,0.795,0.586,0.742,0.764,0.31,0.583,0.901,0.493,0.731
word2vec_RF,0.515,0.473,0.829,0.865,0.247,0.759,0.789,0.588,0.862,0.835,0.493,0.871,0.842,0.667,0.894,0.801,0.343,0.712,0.898,0.504,0.876
word2vec_SVM,0.483,0.438,0.839,0.845,0.164,0.822,0.778,0.476,0.891,0.82,0.546,0.899,0.849,0.69,0.899,0.781,0.242,0.686,0.892,0.512,0.835
word2vec_KNN,0.482,0.447,0.8,0.814,0.252,0.755,0.789,0.579,0.854,0.821,0.42,0.874,0.836,0.645,0.822,0.81,0.268,0.663,0.893,0.515,0.835
chatgpt,0.732,0.723,0.891,0.922,0.616,0.832,0.816,0.673,0.881,0.9,0.648,0.885,0.99,0.978,1.0,0.857,0.536,0.804,0.98,0.884,0.944
claude,0.784,0.788,0.898,0.959,0.784,0.881,0.841,0.713,0.902,0.94,0.79,0.897,0.988,0.974,1.0,0.857,0.566,0.795,0.983,0.899,0.913
