class_id,class_name,metric,withcode_mean,nocode_mean,mean_diff,wtl,p_value,cliffs_delta,n_pairs
0,model,acc,0.893333,0.895556,-0.002222,T,0.94408,-0.004444,15
0,model,f1,0.708081,0.716878,-0.008797,T,0.690886,-0.057778,15
0,model,auc,0.929422,0.942815,-0.013393,T,0.135376,-0.386667,15
1,tensor,acc,0.93037,0.927407,0.002963,T,0.589826,0.12,15
1,tensor,f1,0.798636,0.779267,0.019368,T,0.302795,0.28,15
1,tensor,auc,0.960119,0.960059,5.9e-05,T,0.890381,0.0,15
2,training,acc,0.865185,0.860741,0.004444,T,0.725721,0.151111,15
2,training,f1,0.513515,0.50422,0.009296,T,0.934082,0.128889,15
2,training,auc,0.894163,0.901037,-0.006874,T,0.916512,-0.075556,15
3,gpu,acc,0.979259,0.978519,0.000741,T,0.796564,0.017778,15
3,gpu,f1,0.938475,0.936374,0.0021,T,0.753887,0.093333,15
3,gpu,auc,0.997333,0.983822,0.013511,W,0.009605,0.431111,15
4,api,acc,0.947407,0.92,0.027407,W,0.001141,0.617778,15
4,api,f1,0.844165,0.769205,0.074961,W,0.000122,0.595556,15
4,api,auc,0.979911,0.963496,0.016415,W,0.035564,0.355556,15
5,Others,acc,0.994815,0.994074,0.000741,T,0.705457,0.128889,15
5,Others,f1,0.98358,0.981609,0.00197,T,0.725213,0.128889,15
5,Others,auc,1.0,0.999822,0.000178,T,0.083265,0.2,15
all,all,acc,0.805185,0.788148,0.017037,T,0.114738,0.342222,15
all,all,f1,0.797742,0.781259,0.016483,T,0.187622,0.297778,15
all,all,auc,0.960158,0.958509,0.001649,T,0.733168,0.066667,15
