row_name,all_acc,all_f1,all_auc,model_acc,model_f1,model_auc,tensor_acc,tensor_f1,tensor_auc,training_acc,training_f1,training_auc,gpu_acc,gpu_f1,gpu_auc,api_acc,api_f1,api_auc,Others_acc,Others_f1,Others_auc
sobert,0.793,0.786,0.956,0.875,0.662,0.927,0.937,0.822,0.965,0.851,0.467,0.876,0.982,0.948,0.998,0.946,0.836,0.968,0.994,0.981,1.0
robert,0.757,0.749,0.947,0.877,0.678,0.924,0.919,0.752,0.956,0.846,0.43,0.863,0.976,0.927,0.994,0.907,0.737,0.949,0.99,0.967,0.996
codebert,0.753,0.749,0.949,0.861,0.611,0.918,0.927,0.774,0.962,0.834,0.45,0.877,0.976,0.927,0.995,0.921,0.773,0.945,0.986,0.955,0.999
tfidf_LR,0.717,0.712,0.942,0.859,0.593,0.931,0.922,0.778,0.971,0.831,0.452,0.846,0.967,0.894,0.994,0.894,0.666,0.917,0.961,0.888,0.99
tfidf_DT,0.601,0.598,0.76,0.835,0.486,0.695,0.894,0.653,0.785,0.773,0.324,0.597,0.954,0.864,0.919,0.823,0.495,0.702,0.923,0.767,0.865
tfidf_RF,0.73,0.714,0.944,0.867,0.654,0.939,0.924,0.788,0.966,0.835,0.353,0.84,0.97,0.905,0.996,0.901,0.685,0.929,0.962,0.896,0.997
tfidf_SVM,0.721,0.72,0.942,0.858,0.594,0.927,0.927,0.783,0.967,0.819,0.431,0.851,0.969,0.898,0.988,0.894,0.689,0.928,0.976,0.926,0.992
tfidf_KNN,0.597,0.593,0.881,0.827,0.566,0.906,0.831,0.616,0.907,0.817,0.344,0.761,0.94,0.81,0.947,0.845,0.473,0.828,0.934,0.75,0.935
word2vec_LR,0.555,0.545,0.859,0.86,0.588,0.916,0.861,0.614,0.898,0.82,0.441,0.808,0.838,0.586,0.869,0.835,0.39,0.759,0.896,0.65,0.904
word2vec_DT,0.483,0.48,0.69,0.843,0.512,0.707,0.821,0.51,0.72,0.793,0.353,0.614,0.836,0.544,0.736,0.786,0.337,0.601,0.887,0.623,0.76
word2vec_RF,0.569,0.56,0.864,0.865,0.625,0.907,0.85,0.622,0.907,0.83,0.441,0.836,0.861,0.605,0.872,0.825,0.399,0.745,0.907,0.667,0.917
word2vec_SVM,0.552,0.546,0.856,0.857,0.563,0.917,0.867,0.618,0.897,0.817,0.478,0.813,0.839,0.577,0.86,0.829,0.402,0.738,0.895,0.638,0.908
word2vec_KNN,0.526,0.502,0.822,0.841,0.595,0.895,0.813,0.568,0.873,0.821,0.365,0.8,0.862,0.587,0.83,0.814,0.239,0.648,0.901,0.659,0.885
chatgpt,0.787,0.783,0.931,0.901,0.686,0.901,0.887,0.724,0.942,0.887,0.65,0.897,0.992,0.977,0.999,0.908,0.667,0.849,0.998,0.993,0.997
claude,0.77,0.765,0.917,0.882,0.659,0.875,0.887,0.722,0.929,0.876,0.581,0.871,0.991,0.974,0.996,0.907,0.668,0.835,0.996,0.987,0.996
