row_name,all_acc,all_f1,all_auc,model_acc,model_f1,model_auc,tensor_acc,tensor_f1,tensor_auc,training_acc,training_f1,training_auc,gpu_acc,gpu_f1,gpu_auc,api_acc,api_f1,api_auc,Others_acc,Others_f1,Others_auc
sobert,0.708,0.697,0.907,0.895,0.539,0.837,0.872,0.715,0.892,0.835,0.522,0.859,0.971,0.937,0.996,0.867,0.619,0.865,0.977,0.852,0.996
robert,0.654,0.643,0.9,0.878,0.414,0.824,0.842,0.623,0.905,0.838,0.495,0.87,0.961,0.917,0.995,0.802,0.498,0.81,0.986,0.914,0.998
codebert,0.632,0.626,0.891,0.847,0.44,0.857,0.84,0.624,0.886,0.819,0.418,0.854,0.946,0.888,0.975,0.832,0.521,0.773,0.979,0.864,0.999
tfidf_LR,0.661,0.607,0.912,0.879,0.276,0.894,0.897,0.77,0.966,0.833,0.538,0.881,0.961,0.911,0.992,0.845,0.532,0.784,0.906,0.618,0.954
tfidf_DT,0.582,0.538,0.736,0.83,0.325,0.641,0.873,0.704,0.8,0.791,0.275,0.569,0.948,0.888,0.929,0.815,0.474,0.68,0.906,0.565,0.798
tfidf_RF,0.724,0.679,0.92,0.888,0.511,0.946,0.927,0.846,0.975,0.873,0.555,0.84,0.982,0.961,0.988,0.861,0.537,0.781,0.918,0.664,0.989
tfidf_SVM,0.664,0.611,0.911,0.87,0.241,0.871,0.903,0.774,0.948,0.812,0.508,0.88,0.97,0.933,0.992,0.845,0.571,0.826,0.927,0.635,0.952
tfidf_KNN,0.555,0.507,0.815,0.864,0.433,0.829,0.788,0.601,0.833,0.815,0.402,0.787,0.936,0.868,0.972,0.767,0.237,0.683,0.939,0.5,0.788
word2vec_LR,0.47,0.424,0.833,0.858,0.176,0.799,0.755,0.455,0.897,0.821,0.508,0.897,0.842,0.678,0.893,0.782,0.218,0.699,0.882,0.507,0.816
word2vec_DT,0.427,0.406,0.647,0.855,0.222,0.566,0.764,0.438,0.64,0.788,0.385,0.633,0.794,0.564,0.721,0.758,0.348,0.606,0.897,0.479,0.718
word2vec_RF,0.515,0.478,0.833,0.864,0.266,0.758,0.794,0.575,0.852,0.833,0.493,0.87,0.852,0.681,0.897,0.797,0.364,0.736,0.891,0.488,0.886
word2vec_SVM,0.479,0.433,0.837,0.848,0.167,0.82,0.77,0.457,0.884,0.821,0.55,0.902,0.848,0.687,0.889,0.785,0.236,0.695,0.885,0.5,0.833
word2vec_KNN,0.488,0.453,0.809,0.818,0.268,0.771,0.794,0.585,0.848,0.827,0.441,0.89,0.842,0.656,0.832,0.8,0.26,0.692,0.894,0.509,0.819
chatgpt,0.744,0.739,0.912,0.934,0.68,0.911,0.809,0.674,0.906,0.902,0.626,0.895,0.99,0.978,1.0,0.874,0.59,0.819,0.98,0.884,0.939
