row_name,all_acc,all_f1,model_acc,model_f1,tensor_acc,tensor_f1,training_acc,training_f1,gpu_acc,gpu_f1,api_acc,api_f1,Others_acc,Others_f1
sobert,0.793,0.786,0.875,0.662,0.937,0.822,0.851,0.467,0.982,0.948,0.946,0.836,0.994,0.981
chatgpt,0.795,0.79,0.907,0.69,0.893,0.749,0.891,0.667,0.994,0.983,0.907,0.657,0.998,0.993
claude,0.753,0.741,0.861,0.434,0.908,0.744,0.849,0.615,0.992,0.977,0.907,0.704,0.99,0.97
tfidf_LR,0.717,0.712,0.859,0.593,0.922,0.778,0.831,0.452,0.967,0.894,0.894,0.666,0.961,0.888
tfidf_DT,0.601,0.598,0.835,0.486,0.894,0.653,0.773,0.324,0.954,0.864,0.823,0.495,0.923,0.767
tfidf_RF,0.73,0.714,0.867,0.654,0.924,0.788,0.835,0.353,0.97,0.905,0.901,0.685,0.962,0.896
tfidf_SVM,0.721,0.72,0.858,0.594,0.927,0.783,0.819,0.431,0.969,0.898,0.894,0.689,0.976,0.926
tfidf_KNN,0.597,0.593,0.827,0.566,0.831,0.616,0.817,0.344,0.94,0.81,0.845,0.473,0.934,0.75
word2vec_LR,0.555,0.545,0.86,0.588,0.861,0.614,0.82,0.441,0.838,0.586,0.835,0.39,0.896,0.65
word2vec_DT,0.483,0.48,0.843,0.512,0.821,0.51,0.793,0.353,0.836,0.544,0.786,0.337,0.887,0.623
word2vec_RF,0.569,0.56,0.865,0.625,0.85,0.622,0.83,0.441,0.861,0.605,0.825,0.399,0.907,0.667
word2vec_SVM,0.552,0.546,0.857,0.563,0.867,0.618,0.817,0.478,0.839,0.577,0.829,0.402,0.895,0.638
word2vec_KNN,0.526,0.502,0.841,0.595,0.813,0.568,0.821,0.365,0.862,0.587,0.814,0.239,0.901,0.659
