Id,Answer,Label,Time
31556268,Training,training,4.535646200180054
31627380,Model,model,2.605557680130005
31880720,Tensors&Inputs,model,4.24441933631897
33702251,API,api,4.377797603607178
33712178,Training,training,3.8128502368927
33711427,Tensors&Inputs,tensor,3.7701950073242188
33859864,API,training,4.245174169540405
33969059,Model,model,5.319786310195923
34311586,Training,model,3.999523162841797
34328233,Tensors&Inputs,api,3.746471881866455
34673164,Training,training,3.832195520401001
34775522,GPU Usage,gpu,2.976691722869873
34900246,API,api,5.156777381896973
35413618,API,api,4.648124933242798
35968973,Tensors&Inputs,api,3.8187203407287598
36007883,Training,api,2.8577167987823486
36136562,Tensors&Inputs,tensor,3.1297214031219482
36565430,Training,model,4.04155707359314
36599237,Others,api,4.6971845626831055
36854940,GPU Usage,gpu,3.6351850032806396
37213388,Training,training,3.890667676925659
37232782,Training,training,4.831307888031006
37624102,Training,training,3.2729382514953613
37891954,Tensors&Inputs,api,3.6058480739593506
38056110,Tensors&Inputs,training,5.663742303848267
38272699,Tensors&Inputs,api,2.7378807067871094
38294046,Model,tensor,4.11260199546814
38546903,API,training,3.0684893131256104
38584268,Model,tensor,3.796189546585083
38648195,Training,training,2.3464736938476562
38760621,GPU Usage,gpu,4.462366104125977
38987680,Tensors&Inputs,tensor,3.655998706817627
39076388,GPU Usage,training,4.559749364852905
39114832,API,api,3.540192127227783
39217567,Training,training,3.6800155639648438
39357454,Model,api,3.7819817066192627
39525358,Training,training,5.291845321655273
39714374,Training,training,2.8708302974700928
39810655,Training,training,2.5703210830688477
40179209,Tensors&Inputs,training,3.742241144180298
40403297,GPU Usage,gpu,3.90376615524292
40511562,API,api,3.4232237339019775
40578598,Tensors&Inputs,tensor,3.9513566493988037
40726039,GPU Usage,gpu,3.4028708934783936
40827085,API,api,3.068057060241699
40857445,Tensors&Inputs,tensor,3.7364044189453125
41327601,API,training,3.7212860584259033
41530218,API,training,4.484691619873047
41482913,API,api,5.216250658035278
41600519,Training,training,4.51299786567688
41651628,Tensors&Inputs,tensor,5.107133865356445
41823555,Training,training,2.978681802749634
41813665,API,api,4.58112359046936
41942538,GPU Usage,gpu,5.458998918533325
41910617,API,tensor,3.1708624362945557
41977498,Training,training,2.689514636993408
42064941,Training,training,3.5581302642822266
42217059,API,api,3.3318581581115723
42281589,API,tensor,3.7467777729034424
42353056,Tensors&Inputs,model,4.8569231033325195
42327543,Training,training,4.412714004516602
42513613,API,tensor,3.7548317909240723
42514960,Training,model,3.8798882961273193
42655764,Tensors&Inputs,api,4.898592472076416
42652161,API,tensor,7.658154010772705
42616625,Tensors&Inputs,api,3.4418179988861084
42800203,Model,model,2.7939772605895996
42823627,API,api,3.735715627670288
42913869,API,tensor,3.577894926071167
43152053,API,model,7.071199893951416
43172922,Tensors&Inputs,api,3.2431535720825195
43329789,API,api,3.698964834213257
43396572,Tensors&Inputs,tensor,3.6557505130767822
43464835,Tensors&Inputs,tensor,5.356343746185303
43511819,API,api,4.782205581665039
43542226,Training,training,4.0023252964019775
43509881,API,api,4.24687647819519
43900125,Model,training,6.898032903671265
43895750,Tensors&Inputs,tensor,4.047753572463989
44003302,API,api,3.6268069744110107
44066044,Training,training,5.451280355453491
44124376,API,api,3.3495821952819824
44164749,API,model,4.121553897857666
44184834,Tensors&Inputs,training,5.338372230529785
44221396,Tensors&Inputs,training,3.0391945838928223
44238165,Tensors&Inputs,tensor,3.831169605255127
44399299,Tensors&Inputs,tensor,3.6620640754699707
44500733,GPU Usage,gpu,2.4519474506378174
44580450,GPU Usage,gpu,2.343130588531494
44583254,Tensors&Inputs,tensor,3.321533203125
44673865,Tensors&Inputs,tensor,4.710033416748047
44704435,Tensors&Inputs,tensor,3.7212557792663574
44720822,API,api,5.514343976974487
44998910,Training,model,4.612560272216797
45029977,Training,training,3.4091663360595703
45139423,Training,api,4.798489570617676
45378493,Model,model,3.783531427383423
45404056,Tensors&Inputs,api,6.037294149398804
45442843,Model,training,3.676591634750366
45467720,Tensors&Inputs,tensor,3.6973211765289307
45507821,Training,training,3.6803271770477295
45525444,Tensors&Inputs,training,4.037967920303345
45537372,API,api,3.8503947257995605
45632549,Training,training,5.647207498550415
45645276,Tensors&Inputs,tensor,4.645236968994141
45711636,Model,tensor,3.999063014984131
45799474,API,training,4.595155715942383
45817355,API,api,3.230154275894165
45966301,Tensors&Inputs,tensor,4.002837419509888
46177505,Tensors&Inputs,tensor,3.9154365062713623
46280770,Tensors&Inputs,tensor,3.811903476715088
46443566,API,training,4.196399688720703
46516168,Tensors&Inputs,api,4.821746110916138
46642627,Training,model,3.94610857963562
46595157,API,api,3.3627679347991943
46705634,Training,training,2.6492819786071777
46989600,Tensors&Inputs,tensor,4.377515554428101
46995209,Training,training,4.027987480163574
47066635,Model,api,4.214600324630737
47122052,Training,training,5.1973347663879395
47128044,Tensors&Inputs,tensor,3.797614097595215
47267612,Tensors&Inputs,tensor,4.945637226104736
47318871,Tensors&Inputs,training,5.2316343784332275
47352366,Training,model,3.7991726398468018
47432905,API,training,3.6477785110473633
47503514,Training,training,3.9370315074920654
47724077,Tensors&Inputs,api,5.124261856079102
47799758,Training,training,3.998082399368286
47857437,API,api,2.4816949367523193
47898147,API,api,3.3666107654571533
47932589,Training,training,2.317793607711792
48082655,Tensors&Inputs,training,4.593790054321289
48221692,Model,model,2.6278252601623535
48251943,Model,model,5.1858625411987305
48385830,Training,model,2.8957512378692627
48400225,GPU Usage,gpu,4.110345363616943
48509419,Tensors&Inputs,tensor,4.880832195281982
48493755,Tensors&Inputs,api,4.196242809295654
48527808,Training,training,3.8828508853912354
48518434,Tensors&Inputs,model,3.9190056324005127
48594888,Training,training,4.622764825820923
48709839,Training,training,5.6035120487213135
48934338,Training,training,3.9416122436523438
48991644,API,api,4.340888500213623
48987959,Tensors&Inputs,tensor,3.7363502979278564
49113140,API,api,3.627342700958252
49206550,Tensors&Inputs,tensor,5.408477067947388
49304817,Tensors&Inputs,tensor,3.8023605346679688
49686230,Training,training,3.629117250442505
49763672,API,api,4.866033315658569
50063613,API,training,6.116621255874634
50079585,Model,model,4.459756135940552
50306988,Training,training,4.620518207550049
50426349,Tensors&Inputs,tensor,3.764702081680298
50481178,Training,training,4.275424957275391
50555434,Model,model,5.801286220550537
50724488,Tensors&Inputs,tensor,4.158533096313477
50718045,API,api,4.525330305099487
50776598,API,api,5.0882439613342285
50762466,Training,training,5.361392498016357
50801149,API,api,3.6725127696990967
50920908,API,api,3.829784631729126
50896412,API,tensor,4.283897876739502
51032181,Model,training,4.087478876113892
51031519,API,api,4.667834043502808
51198474,Model,training,3.35788631439209
51181393,Training,training,3.9520115852355957
51341479,API,tensor,3.301130771636963
51421885,Tensors&Inputs,tensor,3.581757068634033
51478595,Tensors&Inputs,training,4.434670448303223
51511052,Training,training,6.390705585479736
51545026,Tensors&Inputs,tensor,4.934834003448486
51586680,Tensors&Inputs,tensor,3.0215375423431396
51746179,Tensors&Inputs,tensor,4.77976393699646
51749207,Model,model,3.4617385864257812
51763983,Tensors&Inputs,tensor,6.62587833404541
51776802,API,tensor,4.42375373840332
51930566,Others,model,3.4850902557373047
52076815,GPU Usage,gpu,3.401503086090088
52265049,GPU Usage,gpu,6.177539110183716
52324713,Tensors&Inputs,tensor,4.256277084350586
52503695,Tensors&Inputs,tensor,3.5395326614379883
52595477,Tensors&Inputs,tensor,3.3077828884124756
52761666,Tensors&Inputs,tensor,4.927023410797119
52815264,API,api,3.7557902336120605
52800582,Training,training,2.552833318710327
52907593,API,api,4.900940656661987
52950449,GPU Usage,gpu,3.5472195148468018
53082519,GPU Usage,gpu,5.456313610076904
53119432,Tensors&Inputs,tensor,5.5567872524261475
53186736,GPU Usage,gpu,4.666494369506836
53194827,GPU Usage,api,2.816931962966919
53332663,API,api,3.9102532863616943
53367049,Tensors&Inputs,tensor,3.2977447509765625
53380068,GPU Usage,gpu,5.175701856613159
53416833,Tensors&Inputs,tensor,3.6599671840667725
53442190,API,api,3.5740792751312256
53538138,API,api,5.344663858413696
53710313,Tensors&Inputs,tensor,4.201098203659058
53767829,API,tensor,5.315404653549194
53820175,API,api,5.013848304748535
53813636,API,model,3.8105978965759277
53894900,GPU Usage,gpu,4.298038005828857
53914450,Training,training,3.5263454914093018
53972814,GPU Usage,gpu,4.44788932800293
54004948,GPU Usage,gpu,3.8675575256347656
53976618,GPU Usage,gpu,4.072707653045654
54054163,Tensors&Inputs,tensor,6.5687949657440186
54064299,Model,model,4.704958200454712
54196469,API,training,5.140631437301636
54194884,GPU Usage,gpu,4.566519737243652
54255431,Training,training,2.7676589488983154
54233276,GPU Usage,gpu,3.4940297603607178
54282951,Training,model,4.494998455047607
54250552,Tensors&Inputs,api,4.221299886703491
54417736,Tensors&Inputs,tensor,5.452004432678223
54479547,GPU Usage,gpu,3.903515577316284
54590442,GPU Usage,gpu,3.768298387527466
54706146,GPU Usage,gpu,4.116293907165527
54738769,Training,model,7.591225862503052
54811239,Tensors&Inputs,model,3.746156930923462
54888906,Training,training,5.717411756515503
55142951,API,api,5.281150817871094
55198221,Training,model,3.44641375541687
55277192,Tensors&Inputs,tensor,3.9638264179229736
55261785,GPU Usage,gpu,4.918925762176514
55328966,Training,training,4.102844953536987
55496289,API,api,3.497358560562134
55731589,Tensors&Inputs,tensor,2.758498430252075
55780923,GPU Usage,gpu,3.428856134414673
55833353,GPU Usage,gpu,3.549091339111328
55955130,Model,tensor,2.896505355834961
56008764,GPU Usage,gpu,3.999617099761963
56014360,GPU Usage,gpu,6.079892873764038
56034040,GPU Usage,gpu,3.7883353233337402
