True,pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
1,1,0.01987092,0.7604259,0.0940105,0.008751547,0.111689985,0.0052511655
4,4,0.017850857,0.027196474,0.019167798,0.02419962,0.89804876,0.01353646
1,1,0.01767927,0.87045693,0.03486978,0.0075485376,0.062209103,0.0072364993
5,4,0.02295897,0.049158804,0.031214904,0.02689871,0.83818173,0.0315869
3,3,0.008456238,0.017133798,0.010471668,0.8402675,0.113527946,0.0101428805
5,5,0.006918372,0.017600685,0.013215674,0.019999178,0.043184545,0.8990815
5,5,0.0067890543,0.011486331,0.007002622,0.010395265,0.013003559,0.9513231
0,2,0.20432383,0.047101267,0.43858045,0.017857542,0.28138602,0.010750895
1,2,0.379694,0.12642287,0.41953328,0.0073975115,0.060501665,0.0064506554
2,2,0.18745969,0.051882684,0.7146876,0.008738233,0.031734794,0.0054969536
5,5,0.009019519,0.04514513,0.029908642,0.082113475,0.06249694,0.77131635
3,3,0.0116210515,0.015995571,0.014388487,0.9259444,0.021448528,0.010602032
0,0,0.551574,0.012561142,0.39214787,0.008804609,0.027472109,0.007440328
4,4,0.0133592,0.056962676,0.018457115,0.021831028,0.8742632,0.01512686
4,4,0.034868293,0.10142715,0.058011647,0.010779945,0.7876351,0.007277878
2,0,0.76103854,0.010613242,0.19661553,0.00596301,0.018667636,0.007102069
3,3,0.009325008,0.016785864,0.012062217,0.93184835,0.020942532,0.009036014
3,3,0.008506726,0.012218115,0.011047341,0.937143,0.016552683,0.014532053
4,4,0.008537978,0.07044177,0.02474794,0.15725884,0.70141065,0.03760281
5,5,0.0065680603,0.014663139,0.007731741,0.022090826,0.014684019,0.9342622
2,2,0.14884923,0.036734816,0.7724937,0.0101970425,0.026289547,0.0054356926
4,4,0.024668552,0.047676597,0.0198522,0.020559827,0.8771816,0.010061186
5,5,0.0069378503,0.01744651,0.012960231,0.10489782,0.057186786,0.8005708
0,0,0.7594632,0.011378625,0.19806395,0.0064595533,0.017647456,0.0069872206
4,4,0.0142732505,0.17640378,0.02218028,0.0149584375,0.760863,0.011321315
3,3,0.02342785,0.09989402,0.038442634,0.75822794,0.06970827,0.010299201
1,4,0.007993958,0.17925285,0.02643615,0.15854757,0.60760045,0.020168953
3,3,0.00588044,0.023836983,0.009683975,0.90781,0.035570398,0.017218238
3,3,0.0073831948,0.01268411,0.010087513,0.93351656,0.026355425,0.009973171
4,4,0.31343654,0.04937505,0.16807486,0.020859627,0.43898195,0.009271906
4,4,0.010177418,0.044497754,0.027824566,0.056625362,0.8499287,0.0109462375
4,4,0.018369928,0.2643392,0.029997408,0.023215216,0.65576065,0.00831762
4,4,0.016308563,0.05704862,0.029460466,0.04220948,0.84368736,0.011285483
0,0,0.7895983,0.020213036,0.15681352,0.008178489,0.018188281,0.007008421
0,0,0.7779287,0.011324486,0.17908694,0.00783916,0.015975282,0.007845465
3,3,0.013048402,0.2092326,0.029698422,0.66769636,0.05033014,0.02999408
1,1,0.016238226,0.8974068,0.026132282,0.010319814,0.033778597,0.016124217
4,4,0.023302898,0.048547868,0.022311145,0.018926991,0.87398314,0.012928038
1,1,0.0079046665,0.83547306,0.01842454,0.012367667,0.11507609,0.0107540265
3,3,0.05996331,0.15003382,0.19114222,0.5331593,0.052303966,0.013397369
0,2,0.3919425,0.013062034,0.5365288,0.018302724,0.032702494,0.0074614175
2,4,0.045909993,0.2904429,0.10309824,0.01106704,0.54293936,0.0065423637
2,2,0.084527254,0.1079845,0.55270654,0.043399103,0.20576243,0.005620189
0,0,0.79228926,0.010009392,0.16225399,0.010508105,0.016343031,0.008596167
0,0,0.8165772,0.012530388,0.13834682,0.007266848,0.016573563,0.00870512
5,5,0.0064367694,0.012653342,0.009721289,0.010005949,0.0118782455,0.9493045
1,1,0.049310546,0.49350193,0.34993732,0.016981537,0.06751163,0.022757115
5,5,0.009672081,0.013506089,0.01494824,0.116290845,0.01975468,0.8258281
4,4,0.059079982,0.09531333,0.13983203,0.01649081,0.68369067,0.005593168
5,3,0.011814095,0.02914168,0.023782613,0.8557502,0.029064417,0.050446983
5,5,0.008665257,0.015729971,0.016206667,0.019312259,0.018972432,0.9211135
5,4,0.03472547,0.06545314,0.040238585,0.022790043,0.73242825,0.10436456
4,1,0.031085674,0.6023808,0.1156368,0.018758524,0.22589739,0.006240721
1,1,0.07926098,0.754961,0.11945006,0.01166909,0.026444703,0.00821417
2,0,0.70000154,0.014958387,0.25040188,0.009065689,0.019068906,0.006503588
1,1,0.05050839,0.8002909,0.057096682,0.0076177856,0.07673648,0.0077498015
3,3,0.008304513,0.012076349,0.010416021,0.9399009,0.017975222,0.011327026
3,4,0.03779748,0.22108407,0.12531728,0.029446518,0.58040214,0.005952498
5,5,0.0071545453,0.024386564,0.012415028,0.11387171,0.016188625,0.82598346
1,1,0.0084161945,0.84932935,0.019280745,0.025365172,0.0870036,0.010604899
2,2,0.3727384,0.013904649,0.5594744,0.0104336245,0.03336022,0.010088717
4,4,0.0145862,0.35328698,0.019790648,0.026081929,0.57377917,0.012474983
3,3,0.007879378,0.012242439,0.01313821,0.9265045,0.03043236,0.009803127
1,2,0.340746,0.074087,0.5309635,0.0096982205,0.040026017,0.0044793165
2,4,0.031006897,0.06073162,0.31870785,0.056198295,0.5212766,0.012078769
1,0,0.5562359,0.23301606,0.15486224,0.010489242,0.030572163,0.014824354
0,0,0.5756509,0.020374727,0.36916143,0.0063579003,0.020253066,0.008202015
2,0,0.694157,0.010964032,0.26078227,0.0071331053,0.01905043,0.007913177
3,3,0.0066316472,0.0105177825,0.009406479,0.93756354,0.021750687,0.0141297905
0,0,0.802341,0.011336698,0.1497501,0.009503229,0.018878292,0.008190708
2,0,0.7297452,0.011943915,0.22851948,0.0072570806,0.016528763,0.0060055605
5,5,0.0072272816,0.011634484,0.007815878,0.011758523,0.012279152,0.94928473
0,0,0.75720775,0.0094906,0.19753487,0.010739377,0.015123621,0.009903806
1,1,0.007611574,0.8873553,0.020053398,0.01664895,0.058321685,0.010009091
2,2,0.12995875,0.03833155,0.7713956,0.022937909,0.02934478,0.008031421
2,2,0.39626446,0.013556928,0.5371125,0.012313666,0.032534245,0.008218197
5,0,0.4076681,0.117113546,0.30040494,0.058066413,0.03883193,0.07791501
5,5,0.03412357,0.12155554,0.06866947,0.06866434,0.09248898,0.6144982
3,3,0.008689591,0.012168737,0.010924663,0.93702704,0.018547721,0.012642291
1,4,0.013354014,0.1777145,0.07625997,0.032909997,0.69126517,0.008496417
0,0,0.7652354,0.014159381,0.18814185,0.009264048,0.0149316825,0.008267606
1,1,0.007112809,0.78753555,0.021613536,0.017014291,0.15326387,0.013459948
0,0,0.48605728,0.03540787,0.44736803,0.005540059,0.01886482,0.006761994
0,0,0.59827316,0.010980337,0.35083973,0.011506306,0.018550776,0.009849751
0,0,0.59423906,0.010042662,0.35384443,0.011799722,0.020488268,0.009585896
3,3,0.00845389,0.015581428,0.010662743,0.93495655,0.02065376,0.009691623
2,0,0.65041375,0.046334542,0.2692332,0.008460454,0.017560108,0.007997929
2,0,0.33363047,0.16472904,0.32802722,0.010328842,0.11848187,0.044802554
4,4,0.022921642,0.13106072,0.024047673,0.015955674,0.7924228,0.013591603
2,0,0.76530904,0.011837787,0.1842136,0.010495743,0.017555393,0.010588392
