words,acc,f1,0_f1,1_f1,2_f1,3_f1,4_f1
初始,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724
"code,accuracy",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"data,accuracy",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"dataset,accuracy",0.84,0.843410189,0.727272727,0.785714286,0.714285714,0.96,0.916666667
"accuracy,dense",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"epoch,accuracy",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"accuracy,import",0.84,0.844454247,0.782608696,0.75862069,0.692307692,0.96,0.916666667
"keras,accuracy",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"accuracy,loss",0.826666667,0.830953974,0.782608696,0.714285714,0.692307692,0.96,0.88
"accuracy,model",0.84,0.842128138,0.727272727,0.8,0.692307692,0.96,0.916666667
"accuracy,output",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"accuracy,print",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"accuracy,sequential",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"accuracy,train",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"training,accuracy",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"accuracy,x",0.866666667,0.868558776,0.782608696,0.814814815,0.740740741,1,0.916666667
"activation,code",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"activation,dense",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"activation,import",0.826666667,0.831017026,0.727272727,0.733333333,0.692307692,0.96,0.916666667
"keras,activation",0.84,0.843303761,0.727272727,0.75862069,0.740740741,0.96,0.916666667
"activation,loss",0.84,0.844023464,0.833333333,0.714285714,0.72,0.96,0.88
"activation,model",0.84,0.842128138,0.727272727,0.8,0.692307692,0.96,0.916666667
"activation,sequential",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"also,code",0.84,0.844454247,0.782608696,0.75862069,0.692307692,0.96,0.916666667
"also,error",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"also,import",0.84,0.844454247,0.782608696,0.75862069,0.692307692,0.96,0.916666667
"also,model",0.84,0.842128138,0.727272727,0.8,0.692307692,0.96,0.916666667
"array,model",0.826666667,0.830958082,0.727272727,0.75862069,0.666666667,0.96,0.916666667
"batch,model",0.84,0.842128138,0.727272727,0.8,0.692307692,0.96,0.916666667
"call,code",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"data,call",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"call,def",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
