True,pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
1,1,0.016177787,0.85514534,0.08877471,0.006095307,0.029984768,0.0038222221
4,4,0.0035674162,0.007962476,0.010480151,0.011882239,0.9581315,0.007976217
1,1,0.014570839,0.9220329,0.03672429,0.0062865755,0.016452804,0.003932654
5,4,0.005670696,0.013618049,0.010964829,0.015362641,0.8591681,0.09521558
3,3,0.0039011934,0.0062928395,0.0058306498,0.95012707,0.026383521,0.007464755
5,5,0.0047486993,0.004026818,0.0047278902,0.008202799,0.01239353,0.96590024
5,5,0.0051999106,0.004863999,0.0043798913,0.011111163,0.012647707,0.96179736
0,0,0.554605,0.036815297,0.36963606,0.0072757676,0.023144435,0.008523425
1,2,0.21208742,0.103272006,0.6277811,0.007885783,0.044412885,0.0045607537
2,2,0.22294381,0.043261737,0.70294255,0.009806684,0.015068992,0.005976217
5,5,0.0119415205,0.10644914,0.02203334,0.0146908695,0.08192699,0.7629581
3,3,0.007804901,0.007117458,0.008836407,0.9610426,0.0074147866,0.0077839615
0,2,0.40370643,0.022533776,0.54774773,0.008062446,0.012069384,0.0058802315
4,4,0.003871637,0.014104355,0.01678746,0.01907294,0.93237877,0.013784849
4,4,0.0066821664,0.070540465,0.050596405,0.013188669,0.85201764,0.0069745644
2,0,0.57320625,0.017660515,0.3814748,0.0064699487,0.01614997,0.00503857
3,3,0.005570617,0.007964632,0.005642246,0.9644234,0.0059048096,0.0104943365
3,3,0.0047447532,0.0053286874,0.0046174875,0.9649154,0.007096269,0.013297399
4,4,0.004608799,0.019678766,0.009847593,0.03045843,0.79764473,0.1377618
5,5,0.007223693,0.011140087,0.013579955,0.047721136,0.20904848,0.7112868
2,2,0.322142,0.020310398,0.62636906,0.012574456,0.013395706,0.0052083926
4,4,0.0030742348,0.011595028,0.009628245,0.0142600145,0.9479606,0.013481938
5,5,0.0048881616,0.0037344794,0.005126897,0.0154384505,0.03679358,0.93401843
0,0,0.54252255,0.010400658,0.41107014,0.007999175,0.018798292,0.009209198
4,4,0.0077093146,0.30417055,0.04592077,0.013534487,0.61976016,0.008904771
3,3,0.010348166,0.05229716,0.02046755,0.8563115,0.02927385,0.0313018
1,4,0.0061228652,0.13738169,0.03661093,0.015608601,0.79294544,0.011330463
3,3,0.004212364,0.008801063,0.004663698,0.957582,0.007298285,0.017442647
3,3,0.004570773,0.005806967,0.0047869594,0.96896154,0.006729846,0.009143948
4,2,0.24392337,0.097070284,0.4163464,0.029682577,0.20801918,0.0049581933
4,4,0.0120921265,0.037816916,0.13453323,0.014411216,0.7914092,0.0097373165
4,1,0.018713545,0.39782557,0.15236577,0.09225211,0.33090144,0.007941577
4,4,0.0028750496,0.036969066,0.009263964,0.031960186,0.8975076,0.021424107
0,0,0.76454824,0.019246342,0.18609421,0.0087394165,0.011087111,0.010284638
0,0,0.6292091,0.018779004,0.32805452,0.0074838805,0.008531521,0.007941986
3,3,0.007442739,0.11948071,0.013510439,0.8076309,0.044019237,0.007915976
1,1,0.00836717,0.95059496,0.011968513,0.008545593,0.014099632,0.006424231
4,4,0.013966209,0.11219835,0.03557077,0.019978324,0.8019035,0.016382916
1,1,0.010499271,0.9307762,0.023052024,0.0067333495,0.023854481,0.005084725
3,3,0.008159485,0.013457645,0.010951964,0.9533525,0.008653172,0.0054252
0,2,0.3032403,0.015768142,0.6143955,0.02158534,0.035734575,0.009276209
2,1,0.026801653,0.53033,0.16690278,0.019102342,0.25198182,0.0048814695
2,2,0.07907229,0.15412372,0.57157886,0.013372063,0.17436521,0.0074878614
0,0,0.70074534,0.009127996,0.25528115,0.011076368,0.012930088,0.010839071
0,0,0.7589152,0.010572396,0.20145369,0.010173548,0.010291007,0.00859417
5,5,0.0091731055,0.008425441,0.006598283,0.008967971,0.008930061,0.957905
1,1,0.05122016,0.77130264,0.12688051,0.008763615,0.028791212,0.013041913
5,5,0.0069384733,0.0038594087,0.0058837477,0.026477268,0.010243261,0.94659775
4,4,0.015348076,0.13143109,0.15090582,0.023053091,0.6740356,0.005226237
5,5,0.041108903,0.029832494,0.035124216,0.27580523,0.024797615,0.5933316
5,5,0.003978624,0.0044952175,0.0047957487,0.009447474,0.024590626,0.9526923
5,5,0.0061047785,0.007090124,0.010299034,0.010026546,0.1753726,0.7911069
4,1,0.027016118,0.50005525,0.1387291,0.014130206,0.30453548,0.015533919
1,1,0.014884219,0.9349866,0.020980177,0.0059666615,0.017474743,0.0057075704
2,0,0.4749563,0.027713455,0.47291055,0.007821241,0.011492491,0.005105835
1,1,0.024910158,0.91344845,0.0388886,0.0044237687,0.01359976,0.004729323
3,3,0.004669596,0.005682039,0.004775921,0.96804136,0.006466528,0.010364507
3,4,0.009806844,0.123950884,0.056116734,0.14966209,0.64054036,0.019923043
5,5,0.010924291,0.043600358,0.012552533,0.14562677,0.054931324,0.7323647
1,1,0.012725098,0.9342304,0.020176133,0.008040837,0.019608218,0.00521928
2,2,0.13258782,0.030952198,0.63718057,0.06602213,0.10614488,0.027112415
4,4,0.006740393,0.2412072,0.01383235,0.041323062,0.6308368,0.066060156
3,3,0.0061928867,0.007479571,0.0085996725,0.96383214,0.0083762985,0.005519396
1,2,0.28503215,0.1104914,0.5759711,0.010528043,0.013185235,0.00479205
2,4,0.01500392,0.048313104,0.24334411,0.018099338,0.65332216,0.02191738
1,1,0.08275261,0.8042647,0.086518005,0.008277579,0.013252845,0.004934267
0,0,0.59459,0.018806241,0.35787365,0.00668608,0.01611671,0.0059272735
2,0,0.69991964,0.012906947,0.2603939,0.00737464,0.010754153,0.0086507825
3,3,0.006152267,0.005830669,0.0060162563,0.9614253,0.0079871295,0.012588356
0,0,0.4833978,0.022624388,0.46716163,0.0063222074,0.013103208,0.007390768
2,2,0.444902,0.015407348,0.509275,0.011145251,0.013546588,0.0057237735
5,5,0.006858101,0.0048857355,0.0066806106,0.0071703624,0.016206404,0.9581989
0,0,0.5973194,0.010671137,0.35993713,0.01303655,0.0102809295,0.008754777
1,1,0.010214865,0.92413926,0.021015005,0.007852026,0.030458963,0.0063198246
2,2,0.065837085,0.09712326,0.63397413,0.03361642,0.15162002,0.017829118
2,2,0.20268255,0.023182753,0.7037163,0.013454502,0.03185787,0.025106054
5,1,0.11010005,0.6733921,0.1457292,0.016947184,0.0225767,0.03125476
5,5,0.008116809,0.046524644,0.0076756584,0.01555462,0.044160035,0.87796825
3,3,0.004732805,0.005196366,0.0052537117,0.96724004,0.0066183945,0.010958593
1,4,0.018531282,0.26863247,0.17801045,0.018744726,0.5079809,0.008100128
0,0,0.6654233,0.010357885,0.29422715,0.00812146,0.011594838,0.010275407
1,1,0.0098965205,0.79860646,0.045311626,0.01174507,0.10669298,0.027747253
0,2,0.2547214,0.054162342,0.64970106,0.0067719286,0.028595598,0.00604769
0,2,0.45002905,0.011465002,0.50314486,0.013071067,0.011774742,0.010515335
0,0,0.5810389,0.011279039,0.37493885,0.010448002,0.011381367,0.010913878
3,3,0.004066962,0.007601441,0.004904282,0.96612406,0.008123246,0.009179985
2,2,0.16936646,0.32424065,0.45501238,0.005202637,0.039890952,0.0062869657
2,0,0.41348103,0.052410677,0.37712303,0.012188943,0.0714497,0.07334667
4,4,0.0034788358,0.045233287,0.010422578,0.009513249,0.90657145,0.02478062
2,0,0.58177835,0.012651884,0.36672246,0.016231412,0.012451366,0.0101645
