True,pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
0,0,0.58216673,0.015195209,0.37000957,0.010958228,0.012382663,0.009287582
2,1,0.06431842,0.7664061,0.09878983,0.017528752,0.03708565,0.015871188
5,5,0.019533983,0.028126335,0.021919439,0.022171855,0.026714383,0.8815339
0,2,0.39588967,0.029164312,0.5398354,0.0103559615,0.014903736,0.009850912
4,4,0.019026931,0.0731012,0.08853565,0.03507161,0.754819,0.029445693
4,1,0.064095445,0.5243763,0.08188038,0.02144061,0.29538003,0.012827288
1,1,0.013183283,0.90998536,0.016810404,0.01692432,0.028809609,0.014287034
3,3,0.008634542,0.01118532,0.011072823,0.91808665,0.023857567,0.027163154
3,3,0.0090804575,0.011181042,0.012668639,0.9290491,0.021628598,0.016392125
2,2,0.2660431,0.015969673,0.6670217,0.021038929,0.020091733,0.009834878
0,0,0.5741545,0.027295988,0.33727387,0.012774135,0.016839208,0.03166229
3,3,0.013165363,0.02522295,0.02102099,0.8480118,0.050942782,0.04163611
3,3,0.010035171,0.011764229,0.012955668,0.93125933,0.017684009,0.01630169
0,0,0.77782524,0.025807092,0.16619422,0.008740942,0.010600903,0.010831565
3,3,0.0076087853,0.010383006,0.010866234,0.9182636,0.03872859,0.014149722
2,0,0.7159542,0.015809111,0.23677213,0.009678771,0.011981494,0.009804382
1,1,0.06493756,0.8326275,0.040928368,0.015922913,0.022402877,0.023180727
4,4,0.019150157,0.42935345,0.02278524,0.027410543,0.47446105,0.026839536
2,2,0.3224134,0.08752264,0.45634636,0.02130475,0.06465347,0.047759328
3,3,0.0084020905,0.046704173,0.012392382,0.87606335,0.042979233,0.013458789
3,3,0.0087632695,0.016530352,0.014761099,0.898985,0.035742685,0.025217582
5,5,0.030524831,0.038405374,0.03341418,0.03818902,0.046046924,0.8134197
1,1,0.013926211,0.8864974,0.023740053,0.016610011,0.047557384,0.011668967
5,5,0.18938057,0.14132921,0.22859691,0.08852155,0.08150484,0.27066696
1,1,0.08963133,0.51193184,0.22019449,0.032227915,0.112611,0.033403534
1,1,0.022013294,0.9065969,0.02130578,0.010630381,0.027796935,0.011656731
1,1,0.016524361,0.89107656,0.025574187,0.013145711,0.03385559,0.019823616
1,1,0.01121124,0.90978086,0.0131416,0.014329899,0.036550805,0.014985667
5,5,0.011564544,0.016484065,0.015227961,0.015273063,0.012190011,0.9292604
2,2,0.35767597,0.018621607,0.5876389,0.014619959,0.011847483,0.009596103
3,3,0.010449395,0.018111099,0.014393002,0.89677286,0.031303916,0.028969748
1,1,0.012567101,0.9198506,0.01771614,0.013896848,0.020923426,0.015045827
5,5,0.021879334,0.040882144,0.023530476,0.025252335,0.02494606,0.8635096
2,2,0.23329869,0.015990943,0.69805115,0.013212318,0.015495964,0.023950972
1,1,0.072692074,0.7382996,0.123184845,0.015964942,0.032329217,0.017529322
1,4,0.063543245,0.28593358,0.2646164,0.07838385,0.29501525,0.012507678
0,0,0.542214,0.17464744,0.18581381,0.01494999,0.06982001,0.012554793
0,0,0.39319187,0.21009861,0.2851262,0.016956052,0.076601095,0.018026201
5,5,0.009948297,0.015932456,0.012899912,0.023308776,0.036801703,0.90110886
4,4,0.007986138,0.043629047,0.014894166,0.08190394,0.8276049,0.023981787
2,1,0.030027252,0.84818035,0.048254587,0.015416026,0.045018863,0.013102947
1,1,0.029723214,0.796423,0.050547127,0.016910935,0.092155755,0.014240021
2,2,0.39776728,0.022804499,0.53601235,0.014600781,0.0176988,0.011116264
4,4,0.019589987,0.03387944,0.02569929,0.01996201,0.8892459,0.011623359
5,5,0.012039701,0.016466321,0.015682176,0.018642005,0.014555534,0.92261434
0,0,0.61169994,0.02406682,0.33220392,0.009227009,0.012054311,0.010747905
3,3,0.0067338706,0.020493679,0.009658635,0.9075962,0.038940977,0.016576707
4,4,0.013206138,0.14613438,0.017048253,0.024376513,0.7643893,0.034845367
5,5,0.00994707,0.02977279,0.017518505,0.027758013,0.023824155,0.89117956
4,4,0.01213177,0.052669477,0.0149682965,0.017156085,0.891777,0.01129745
0,0,0.6296382,0.01861396,0.3178502,0.01068038,0.011119917,0.012097338
5,5,0.008223631,0.0121270055,0.012175247,0.015295333,0.014688848,0.93748987
4,4,0.052684315,0.052216053,0.2466469,0.033729266,0.60094666,0.013776799
3,1,0.013758584,0.594082,0.024510136,0.25658876,0.0880715,0.022989044
4,4,0.006988064,0.024098063,0.011560486,0.056538574,0.8853147,0.015500083
4,4,0.013555262,0.15803818,0.031064345,0.121000625,0.6407717,0.03556987
3,3,0.0086476365,0.009847188,0.01220703,0.93360543,0.020025209,0.0156675
2,2,0.3865255,0.03083288,0.5368129,0.013561962,0.020848334,0.011418398
4,4,0.012575529,0.035780832,0.021413004,0.04033597,0.8708315,0.019063173
1,4,0.02126358,0.31898546,0.048150692,0.027118111,0.5718804,0.012601752
1,1,0.016020147,0.76312757,0.023457823,0.028424365,0.14196227,0.027007816
5,4,0.017763486,0.039235942,0.02489847,0.034342162,0.48246992,0.40128997
5,5,0.017416976,0.024018591,0.017872723,0.021170793,0.024168335,0.89535254
0,0,0.7434,0.030059056,0.19777723,0.008196036,0.011422255,0.009145458
5,5,0.03076497,0.034122817,0.028540568,0.03442761,0.0410572,0.8310869
5,5,0.009412177,0.015791746,0.0105837025,0.013600802,0.011938184,0.9386733
2,2,0.14182937,0.023951227,0.7453185,0.035476804,0.023666853,0.029757246
2,2,0.285935,0.08915812,0.5855508,0.013196949,0.01719083,0.0089682825
1,1,0.0380953,0.8570597,0.0542155,0.014034111,0.02244748,0.014147953
3,3,0.0073931944,0.018522289,0.012699114,0.8645656,0.08090491,0.015914857
0,0,0.5117143,0.026418606,0.39251572,0.013435872,0.046176016,0.009739516
2,0,0.446564,0.041474164,0.43089762,0.011594266,0.05327651,0.016193423
5,5,0.013328992,0.01942605,0.016311891,0.015840296,0.0167968,0.918296
2,2,0.10128931,0.2670752,0.3919227,0.02978956,0.18619621,0.023727013
0,0,0.6481659,0.01564063,0.3031925,0.010850336,0.01100111,0.011149567
4,1,0.013453106,0.5866898,0.019670678,0.020675683,0.34422192,0.015288766
5,5,0.017422268,0.021401215,0.020079227,0.027988207,0.03943358,0.8736755
2,0,0.68446916,0.020425038,0.26714602,0.008727306,0.010516659,0.008715889
3,3,0.012746907,0.023745637,0.02246461,0.8004886,0.07334548,0.06720881
4,4,0.011582119,0.030543843,0.022770585,0.020983405,0.9019722,0.012147981
0,0,0.69788504,0.021898672,0.25129116,0.0077976934,0.01036129,0.010766129
0,2,0.37735724,0.030342368,0.55686545,0.010110241,0.013212042,0.012112675
3,3,0.00880558,0.009083411,0.012255146,0.9306412,0.024046095,0.015168578
3,3,0.015608061,0.015718937,0.02599268,0.90345025,0.02607381,0.013156235
1,1,0.01566669,0.88638544,0.021621127,0.01727949,0.041509673,0.01753755
4,4,0.019471334,0.12133693,0.023882417,0.017667055,0.8018623,0.015779868
0,2,0.22647858,0.026759794,0.7097282,0.01328869,0.01618961,0.0075552007
2,2,0.1555242,0.03900089,0.67341036,0.0759669,0.041566834,0.014530877
4,4,0.011933865,0.06921756,0.017705683,0.017365476,0.87058014,0.0131972
0,0,0.7007468,0.016136464,0.2525355,0.008996556,0.010403062,0.0111816265
