True,pred,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
1,2,0.26488227,0.054770514,0.65193653,0.0070615383,0.012480182,0.008868919
4,4,0.010083565,0.007629031,0.016508482,0.014459572,0.9371563,0.014162998
1,1,0.019638795,0.9245165,0.011853045,0.010502483,0.014835938,0.018653328
5,5,0.01457172,0.012858449,0.016468419,0.023456905,0.049687676,0.8829568
3,3,0.0068320604,0.00962322,0.012811758,0.89296275,0.04681249,0.030957723
5,5,0.007202908,0.009440513,0.008068575,0.014707566,0.012598748,0.9479818
5,5,0.014247543,0.020546896,0.013722064,0.028624408,0.03306455,0.8897946
0,0,0.5443526,0.014935522,0.40733796,0.009135598,0.0147959925,0.009442373
1,0,0.38790283,0.122588776,0.35820106,0.029062817,0.062191483,0.040052995
2,0,0.46413377,0.13404065,0.37621057,0.007977201,0.010010108,0.007627613
5,5,0.041139275,0.033894286,0.048917014,0.05325583,0.03317601,0.78961766
3,3,0.006799163,0.008459924,0.013376208,0.9394314,0.013256922,0.018676298
0,2,0.43511063,0.020628713,0.51740587,0.0076264436,0.011563203,0.007665154
4,4,0.012952109,0.01994295,0.036409765,0.016982978,0.8965985,0.01711369
4,4,0.039077874,0.06023262,0.093341276,0.017681321,0.7721808,0.01748596
2,0,0.7208892,0.01590043,0.23365387,0.0081766825,0.010579138,0.010800676
3,3,0.0063658375,0.008195416,0.01192275,0.9461436,0.0119825825,0.015389828
3,3,0.0070062834,0.008339356,0.012627551,0.9088374,0.0134968525,0.049692508
4,4,0.054307945,0.06444124,0.099273525,0.04494862,0.71508604,0.021942614
5,5,0.009274909,0.0118283015,0.01241126,0.025358025,0.018045925,0.9230816
2,0,0.563355,0.013929175,0.38962045,0.010597511,0.010674541,0.011823273
4,4,0.009247687,0.011175204,0.015338352,0.017124536,0.9292895,0.017824754
5,5,0.009633085,0.011625776,0.008486008,0.026737208,0.024800539,0.9187174
0,0,0.52073526,0.02096999,0.39649755,0.010824029,0.039328814,0.011644383
4,1,0.015303599,0.68733853,0.02060697,0.034005888,0.20659845,0.036146592
3,3,0.011035537,0.023167796,0.022323705,0.9056315,0.02162056,0.016221005
1,4,0.008642628,0.026695412,0.019799896,0.28261018,0.54240435,0.11984751
3,4,0.018243367,0.047477078,0.07640035,0.03548725,0.80904406,0.013347947
3,3,0.0071005654,0.007840508,0.0118858125,0.9404923,0.011387334,0.02129343
4,4,0.01168353,0.009195734,0.020020694,0.018147985,0.9324601,0.008491906
4,4,0.010450832,0.011475825,0.028751958,0.014375458,0.92543375,0.00951216
4,4,0.06455907,0.028799612,0.29876676,0.047020376,0.5503994,0.0104547655
4,4,0.0138759855,0.02065006,0.04029017,0.06591376,0.8420768,0.017193237
0,0,0.7152935,0.013786557,0.24285185,0.008536867,0.010113615,0.00941758
0,0,0.64945984,0.020768031,0.29733375,0.008017301,0.01113292,0.013288187
3,3,0.0076854634,0.01025046,0.015693236,0.9408164,0.013679845,0.011874566
1,1,0.017823204,0.9270652,0.010860658,0.010032389,0.017740037,0.016478423
4,4,0.010806465,0.029706506,0.017917773,0.013406647,0.9184119,0.009750706
1,1,0.03704906,0.9019731,0.01752624,0.010954282,0.012549711,0.019947587
