True,LR,LR_prob_0,LR_prob_1,LR_prob_2,LR_prob_3,LR_prob_4,LR_prob_5,DT,DT_prob_0,DT_prob_1,DT_prob_2,DT_prob_3,DT_prob_4,DT_prob_5,RF,RF_prob_0,RF_prob_1,RF_prob_2,RF_prob_3,RF_prob_4,RF_prob_5,SVM,SVM_prob_0,SVM_prob_1,SVM_prob_2,SVM_prob_3,SVM_prob_4,SVM_prob_5,KNN,KNN_prob_0,KNN_prob_1,KNN_prob_2,KNN_prob_3,KNN_prob_4,KNN_prob_5
3,3,0.07626997591810135,0.08602231374498905,0.09898930156439174,0.42109495381192624,0.1688865101689458,0.14873694479164598,3,0.0,0.0,0.0,1.0,0.0,0.0,3,0.08,0.1,0.14,0.39,0.21,0.08,3,0.006391469825978126,0.012353725829495918,0.01712977913407159,0.8209222584390026,0.12076031456373137,0.022442452207720297,3,0.0,0.0,0.0,1.0,0.0,0.0
2,2,0.2189095850554015,0.14114711117507606,0.35062207377909144,0.07737662537666917,0.10074520949016032,0.1111993951236014,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0.42,0.15,0.35,0.02,0.04,0.02,2,0.341403544198946,0.06380692044869031,0.537974948264836,0.007791711328458782,0.04048928128171406,0.00853359447735445,2,0.4,0.0,0.6,0.0,0.0,0.0
4,1,0.08822578815844455,0.29994996175709204,0.11902902878436052,0.11370997097550156,0.2230224376961915,0.15606281262840985,1,0.0,1.0,0.0,0.0,0.0,0.0,1,0.08,0.37,0.09,0.05,0.35,0.06,1,0.012303143909491719,0.5230465437975125,0.07183303917316404,0.032666896726474035,0.32646719614879194,0.033683180244565514,1,0.0,1.0,0.0,0.0,0.0,0.0
1,1,0.0760487452497666,0.3170177680092106,0.1053449155525777,0.11631465846539038,0.20991756998238945,0.1753563427406653,1,0.0,1.0,0.0,0.0,0.0,0.0,1,0.03,0.44,0.07,0.14,0.17,0.15,1,0.004529551746072113,0.7084421898008759,0.029033066567934668,0.02050246291999045,0.21560401234008497,0.021888716625042107,1,0.0,0.6,0.2,0.0,0.2,0.0
5,5,0.09320350280312581,0.10289142940498432,0.1210261937042999,0.1246187136213712,0.1479098712820639,0.41035028918415495,5,0.0,0.0,0.0,0.0,0.0,1.0,5,0.02,0.07,0.05,0.01,0.11,0.74,5,0.009015690532042677,0.011162680385152893,0.027437995947390475,0.024032474476077884,0.0492246167141248,0.8791265419452114,5,0.0,0.0,0.0,0.2,0.0,0.8
2,5,0.11647428642367677,0.12595385311728596,0.1616317176944758,0.15117166945649577,0.16921585131070396,0.2755526219973618,4,0.0,0.0,0.0,0.0,1.0,0.0,5,0.12,0.07,0.1,0.13,0.22,0.36,5,0.05240848957356308,0.060951812614430854,0.16906448394204468,0.09870850818245079,0.2445496397254706,0.37431706596203995,0,0.2,0.2,0.2,0.2,0.2,0.0
5,5,0.0718670079239685,0.09760167746122557,0.08808734546032669,0.07936478104539929,0.10937574119990015,0.5537034469091798,5,0.0,0.0,0.0,0.0,0.0,1.0,5,0.12,0.1,0.12,0.03,0.1,0.53,5,0.0012735441615044163,0.0023400887013551408,0.0021218809263183493,0.0008753715929532717,0.005549570704611756,0.987839543913257,5,0.0,0.0,0.0,0.0,0.0,1.0
4,4,0.09781288235490615,0.17608830772879186,0.16215246387374832,0.08996088534061618,0.3500808722822672,0.12390458841967032,4,0.0,0.0,0.0,0.0,1.0,0.0,4,0.14,0.18,0.17,0.05,0.43,0.03,4,0.009822524394845157,0.09013320512468972,0.0690765076901605,0.009470258191705853,0.8107377068179691,0.010759797780629873,1,0.0,0.6,0.2,0.0,0.2,0.0
0,0,0.4788754578345699,0.07764241053528294,0.19169369540755682,0.06338116630195058,0.105805208720736,0.08260206119990389,2,0.0,0.0,1.0,0.0,0.0,0.0,0,0.48,0.1,0.26,0.02,0.11,0.03,0,0.6764999071871196,0.00855315631140583,0.29071111708286274,0.0020838097064236646,0.02045281903362939,0.0016991906785589351,0,0.8,0.0,0.2,0.0,0.0,0.0
1,1,0.061739984799877544,0.6907201928862173,0.08166012901891422,0.03895031604503586,0.0744809324435099,0.05244844480644529,1,0.0,1.0,0.0,0.0,0.0,0.0,1,0.15,0.45,0.11,0.03,0.2,0.06,1,0.0005204884583743925,0.9945434730094017,0.0030831959207497355,0.00016709209799605927,0.0016214738766026611,6.427663687528183e-05,1,0.0,1.0,0.0,0.0,0.0,0.0
