True,LR,LR_prob_0,LR_prob_1,LR_prob_2,LR_prob_3,LR_prob_4,LR_prob_5,DT,DT_prob_0,DT_prob_1,DT_prob_2,DT_prob_3,DT_prob_4,DT_prob_5,RF,RF_prob_0,RF_prob_1,RF_prob_2,RF_prob_3,RF_prob_4,RF_prob_5,SVM,SVM_prob_0,SVM_prob_1,SVM_prob_2,SVM_prob_3,SVM_prob_4,SVM_prob_5,KNN,KNN_prob_0,KNN_prob_1,KNN_prob_2,KNN_prob_3,KNN_prob_4,KNN_prob_5
1,1,0.02262092165280555,0.3218827551984319,0.16395783110722945,0.26594379726937634,0.2077199019483314,0.017874792823825283,2,0.0,0.0,1.0,0.0,0.0,0.0,1,0.01,0.56,0.08,0.27,0.07,0.01,1,0.015704562674855402,0.29812294667349815,0.18830144089234788,0.23588855543463408,0.24437779330898116,0.01760470101568306,2,0.2,0.2,0.4,0.2,0.0,0.0
4,4,0.0337143681548308,0.09276911448704396,0.055198334165870444,0.1912729569112197,0.48480028138919395,0.14224494489184103,5,0.0,0.0,0.0,0.0,0.0,1.0,4,0.02,0.05,0.04,0.11,0.48,0.3,4,0.01957625251462421,0.05370960756633163,0.046124951484763754,0.20780411340490526,0.4759875441490935,0.19679753088028196,4,0.0,0.0,0.0,0.0,0.6,0.4
1,1,0.07396088816481733,0.37415405595273027,0.23932583792452308,0.12518025330680344,0.16163260981582067,0.02574635483530519,0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.09,0.66,0.12,0.08,0.04,0.01,1,0.05733796379877479,0.3593327466417742,0.2558616581461582,0.11777597655868303,0.1826046227109589,0.0270870321436506,1,0.2,0.8,0.0,0.0,0.0,0.0
5,4,0.0009682582448454296,0.12802643831986654,0.012423117261687204,0.03922657329633239,0.8187179920682466,0.0006376208090219307,4,0.0,0.0,0.0,0.0,1.0,0.0,4,0.0,0.13,0.09,0.15,0.63,0.0,4,0.0011719511551391913,0.14869008453578272,0.02233547116499953,0.039572912364391415,0.7801420231629512,0.008087557616736189,4,0.0,0.2,0.2,0.2,0.4,0.0
3,4,0.0013638439253558308,0.10296659955189076,0.01602104625402322,0.14307820185165557,0.7153664056452271,0.021203902771847475,4,0.0,0.0,0.0,0.0,1.0,0.0,4,0.0,0.05,0.0,0.11,0.84,0.0,4,0.0014437039421221621,0.06707462599271127,0.01806763072134796,0.13881139192252587,0.730383741637193,0.044218905784099795,4,0.0,0.0,0.0,0.0,1.0,0.0
5,5,0.0029324301955460253,0.02138400832868853,0.02584629499148587,0.08253841989874716,0.08800251123219775,0.7792963353533346,5,0.0,0.0,0.0,0.0,0.0,1.0,5,0.0,0.0,0.0,0.02,0.07,0.91,5,0.0017499152148299799,0.013468128306112078,0.02149553442217382,0.05052612371702455,0.11430963249410594,0.7984506658457537,5,0.0,0.0,0.0,0.0,0.2,0.8
5,5,0.003634739174786845,0.004111108188578482,0.0066546654577252515,0.014307792546591518,0.01274699020385927,0.9585447044284586,5,0.0,0.0,0.0,0.0,0.0,1.0,5,0.03,0.01,0.0,0.0,0.01,0.95,5,0.005164549876290274,0.003607345561290142,0.006250510223533133,0.008613944235218196,0.02513130693261613,0.951232343171052,5,0.0,0.0,0.0,0.0,0.0,1.0
0,2,0.4030543250218069,0.01945734886033722,0.4974148703699728,0.0414706917110871,0.03681391579381581,0.0017888482429803034,2,0.0,0.0,1.0,0.0,0.0,0.0,0,0.66,0.0,0.24,0.03,0.07,0.0,2,0.3878735506422021,0.009583413981562755,0.5360209116934932,0.01929710020784821,0.04570645316223629,0.001518570312657323,0,0.8,0.0,0.2,0.0,0.0,0.0
1,0,0.40712594156383847,0.10021438415373163,0.2784932892321257,0.03186066158540444,0.13318237765907118,0.049123345805828646,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0.57,0.09,0.25,0.03,0.05,0.01,2,0.3726799314043382,0.06496966603488889,0.3444086079724005,0.041722674849159,0.14077903446404513,0.03544008527516862,0,0.6,0.2,0.2,0.0,0.0,0.0
2,2,0.11050233149412196,0.30583077336236886,0.4140443519270043,0.07631496070283186,0.0892518558799548,0.004055726633717964,1,0.0,1.0,0.0,0.0,0.0,0.0,1,0.04,0.52,0.26,0.11,0.07,0.0,2,0.09531442657727297,0.25449913316277617,0.4627820785723043,0.06103898736207519,0.12292021814352759,0.00344515618204381,1,0.0,0.6,0.4,0.0,0.0,0.0
